model,metric,point,ci_low,ci_high
LR,accuracy,0.7205714285714285,0.7131428571428572,0.7277142857142858
LR,f1,0.7083643954077828,0.6995940307260083,0.7168632136816808
LR,recall,0.6787142857142857,0.6677258970115175,0.6894768547750593
LR,specificity,0.7624285714285715,0.752838843487233,0.7725194869623887
LR,balanced_accuracy,0.7205714285714286,0.7133416604829774,0.7275974338583572
LR,mcc,0.4426968121897533,0.4283207158681477,0.4567860287641849
Decision Tree,accuracy,0.7311428571428571,0.7234982142857144,0.7383571428571428
Decision Tree,f1,0.7295588446615894,0.7211463999218747,0.7382400095898666
Decision Tree,recall,0.7252857142857143,0.7144468883540808,0.7356780804274297
Decision Tree,specificity,0.737,0.7263105874791794,0.7476507683718205
Decision Tree,balanced_accuracy,0.7311428571428571,0.7235344453173141,0.7383654368263416
Decision Tree,mcc,0.4623174360111412,0.447070458928014,0.4767553986587823
Linear SVM,accuracy,0.6517857142857143,0.6441428571428571,0.6598571428571428
Linear SVM,f1,0.6369255976763238,0.6272874060888997,0.6465353269088505
Linear SVM,recall,0.6108571428571429,0.5997427466854777,0.6223524556979683
Linear SVM,specificity,0.6927142857142857,0.6819804986907156,0.703578075005004
Linear SVM,balanced_accuracy,0.6517857142857143,0.6440254805985725,0.6598160843367938
Linear SVM,mcc,0.30459362254600564,0.28896407292361626,0.3206305870550225
Nearest Centroid,accuracy,0.6422142857142857,0.6344267857142858,0.6499285714285714
Nearest Centroid,f1,0.6179543894439784,0.6081950694071058,0.6270227217505514
Nearest Centroid,recall,0.5787142857142857,0.567673890457266,0.5902852703925184
Nearest Centroid,specificity,0.7057142857142857,0.6948158674253812,0.7164004095654849
Nearest Centroid,balanced_accuracy,0.6422142857142857,0.6345813701632131,0.6499238120681076
Nearest Centroid,mcc,0.28675047114263774,0.27154837017075656,0.30247834220533804
Gaussian NB,accuracy,0.5918571428571429,0.5837142857142857,0.5997178571428572
Gaussian NB,f1,0.4304226475279107,0.41858523994480934,0.4432610253761295
Gaussian NB,recall,0.30842857142857144,0.2979951320788946,0.320149398748772
Gaussian NB,specificity,0.8752857142857143,0.8674367917482064,0.8828244683160793
Gaussian NB,balanced_accuracy,0.5918571428571429,0.585304398231961,0.5984402085188998
Gaussian NB,mcc,0.22300399805061408,0.2077882515003425,0.23820290319826887