evaluation,fold,model,raw_weight,normalized_weight
held-out,,LR,3.317537905407454,0.293318509785984
held-out,,Decision Tree,3.6236131785428523,0.32038000706445646
held-out,,Bagged Trees,3.6861798368799006,0.32591180790863034
held-out,,Gaussian NB,0.6830289600653145,0.06038967524092914
5-fold CV,1,LR,3.264431918904028,0.29475137564170806
5-fold CV,1,Decision Tree,3.591676577473639,0.3242988790606727
5-fold CV,1,Bagged Trees,3.5254951359922986,0.31832323876454255
5-fold CV,1,Gaussian NB,0.693601400335918,0.06262650653307661
5-fold CV,2,LR,2.8058632313560583,0.25878241604967056
5-fold CV,2,Decision Tree,4.249501492785522,0.3919279639222621
5-fold CV,2,Bagged Trees,3.1241994902112293,0.28814230261226
5-fold CV,2,Gaussian NB,0.662993306315452,0.0611473174158074
5-fold CV,3,LR,2.2563830648555925,0.23963155284952037
5-fold CV,3,Decision Tree,3.6467107602054245,0.38728661629846434
5-fold CV,3,Bagged Trees,2.8031536430867807,0.29769947790831586
5-fold CV,3,Gaussian NB,0.7098041244924942,0.0753823529436995
5-fold CV,4,LR,2.2575198199598505,0.22067603023642593
5-fold CV,4,Decision Tree,3.8248464230699026,0.3738846133018981
5-fold CV,4,Bagged Trees,3.464080678996202,0.33861920763698106
5-fold CV,4,Gaussian NB,0.6835713429446846,0.06682014882469484
5-fold CV,5,LR,2.0390982902810126,0.2013783374394519
5-fold CV,5,Decision Tree,4.208066951456952,0.41558248101984324
5-fold CV,5,Bagged Trees,3.1851938022580097,0.3145650385655355
5-fold CV,5,Gaussian NB,0.6933491935849667,0.06847414297516928